state_code,state_name,role,deadline,period,period_days,trigger,served_on,statute,notes
CA,California,general-contractor,Preliminary Notice,20 days,20,first furnishing labor or materials,construction lender (if any),Civil Code §8200,A late notice only reaches back 20 days from when it is served.
CA,California,general-contractor,Record Claim of Lien,60–90 days,90,completion of the work of improvement,,"Civil Code §8412, §8414","90 days after completion. If the owner records a Notice of Completion/Cessation, a direct contractor has only 60 days."
CA,California,general-contractor,Foreclosure Lawsuit,90 days,90,recording the claim of lien,,Civil Code §8460,Cannot be tolled or extended.
CA,California,subcontractor,Preliminary Notice,20 days,20,first furnishing labor or materials,"owner, prime contractor, and construction lender (if any)","Civil Code §8200, §8204",A late notice only reaches back 20 days from when it is served.
CA,California,subcontractor,Record Claim of Lien,30–90 days,90,completion of the work of improvement,,"Civil Code §8412, §8414","90 days after completion. If the owner records a Notice of Completion/Cessation, a subcontractor has only 30 days."
CA,California,subcontractor,Foreclosure Lawsuit,90 days,90,recording the claim of lien,,Civil Code §8460,Cannot be tolled or extended.
TX,Texas,general-contractor,File Lien Affidavit,15th day of the 4th month (commercial) / 3rd month (residential),,month of last labor or materials furnished,,Property Code §53.052,"Original contractors do not send monthly pre-lien notices, but must record the affidavit by this deadline."
TX,Texas,general-contractor,Foreclosure Lawsuit,1 year,365,last day a claimant could file the lien affidavit,,Property Code §53.158,Reduced from 2 years to 1 year for projects on/after 2022-01-01. May be extended to 2 years only by written agreement with the current owner.
TX,Texas,subcontractor,Monthly Pre-Lien Notice (Fund-Trapping Notice),15th day of the 3rd month,,each month unpaid labor or materials furnished,owner and original contractor,Property Code §53.056,Send a separate notice for each unpaid month. The notice lets the owner trap funds owed to the general contractor.
TX,Texas,subcontractor,File Lien Affidavit,15th day of the 4th month (commercial) / 3rd month (residential),,month of last labor or materials furnished,,Property Code §53.052,Commercial: 15th day of the 4th calendar month. Residential: 15th day of the 3rd calendar month.
TX,Texas,subcontractor,Foreclosure Lawsuit,1 year,365,last day a claimant could file the lien affidavit,,Property Code §53.158,Reduced from 2 years to 1 year for projects on/after 2022-01-01.
FL,Florida,general-contractor,Record Claim of Lien,90 days,90,final furnishing of labor or materials,,Fla. Stat. §713.08,Warranty/punch-list/remedial work does NOT extend the 90-day clock.
FL,Florida,general-contractor,Foreclosure Lawsuit,1 year,365,recording the claim of lien,,Fla. Stat. §713.22,A Notice of Contest of Lien can shorten this to 60 days.
FL,Florida,subcontractor,Notice to Owner (NTO),45 days,45,first furnishing labor or materials,owner (and contractor),Fla. Stat. §713.06,Must be served within 45 days of first furnishing AND before the owner makes final payment. Missing the NTO forfeits lien rights.
FL,Florida,subcontractor,Record Claim of Lien,90 days,90,final furnishing of labor or materials,,Fla. Stat. §713.08,Warranty/punch-list/remedial work does NOT extend the 90-day clock.
FL,Florida,subcontractor,Foreclosure Lawsuit,1 year,365,recording the claim of lien,,Fla. Stat. §713.22,A Notice of Contest of Lien can shorten this to 60 days.
